Identifiant espace vert;Typologie d'espace vert;Catégorie;Adresse - Numéro;Adresse - Complément;Adresse - type voie;Adresse - Libellé voie;Code postal;Surface calculée;Superficie totale réelle;Surface horticole;Présence cloture;Périmètre;Année de l'ouverture;Année de rénovation;Ancien nom de l'espace vert;Année de changement de nom;Nombre d'entités;Ouverture 24h_24h;ID_DIVISION;ID_ATELIER_HORTICOLE;IDA3D_ENB;SITE_VILLES;ID_EQPT;Compétence
11320;Promenades ouvertes;Ile;25;W;ROUTE DE;CEINTURE DU LAC DAUMESNIL;75012;25289;25293;;Non;723.58235469;;;Reuilly;;1;;7;49;51681;3705;7808;CP
10836;Décorations sur la voie publique;Jardiniere;1;;RUE;SERGE PROKOFIEV;75016;119;45;45;Non;105.38443303;;;;;3;;116;31;JDE7459;SV;7459;CA
10837;Décorations sur la voie publique;Jardiniere;201;;AVENUE;VICTOR HUGO;75016;42;32;32;Non;33.57290111;;;;;1;;116;31;JDE7460;SV;7460;CA
540;Promenades ouvertes;Jardin;21;;RUE;GINETTE NEVEU;75018;2977;4152;565;Oui;260.78160105;1970;;;;1;Non;118;38;62342;1927;3352;CA
10330;Décorations sur la voie publique;Jardiniere;1;;RUE;MARIE LAURENCIN;75012;1092;1025;1025;Non;733.83679767;;;;;16;;111;13;JDE7279;SV;7279;CA
11113;Décorations sur la voie publique;Jardiniere;2;Z;RUE;FRANCOIS BLOCH-LAINE;75013;176;116;116;Non;106.49799701;2006;;;;3;;113;18;JDE7362;SV;7362;CA
11239;Décorations sur la voie publique;Jardiniere;74;;AVENUE D';IVRY;75013;270;393;393;Non;97.48032577;;;JARDIN FRANCOISE MALLET-JORIS (2017);2019;2;;113;163;JDE7963;SV;7963;CA
10354;Décorations sur la voie publique;Jardiniere;49;;AVENUE D';IVRY;75013;108;451;451;Non;55.15986711;2006;;;;1;;113;17;JDE7310;SV;7310;CA
10692;Décorations sur la voie publique;Plate-bande;2;;BOULEVARD;RICHARD LENOIR;75011;658;709;709;Non;226.85226642;;;;;3;;111;11;JDE3808;SV;3808;CA
10706;Décorations sur la voie publique;Jardiniere;105;;RUE DE;BUZENVAL;75020;179;185;185;Non;120.12062887;2006;;;;2;;120;46;JDE7589;SV;7589;CA
11215;Promenades ouvertes;Jardin;122;;RUE;DES POISSONNIERS;75018;6506;6894;2630;Oui;388.35050414;2013;;JARDIN DU 122 RUE DES POISSONNIERS;2021;1;Non;118;38;77196;4376;7076;CA
10807;Décorations sur la voie publique;Jardiniere;1;V;PLACE;GEORGES MULOT;75015;15;15;15;Non;33.06270578;;;;;1;;115;25;JDE7415;SV;7415;CA
90;Jardinets décoratifs;Jardinet;2;;PLACE;JACQUES BAINVILLE;75007;430;300;300;Oui;133.87655383;;;;;1;Non;101;6;45779;3740;3776;CA
10028;Promenades ouvertes;Promenade;87;B;AVENUE DES;TERNES;75017;2167;2210;1520;Oui;330.49122478;1989;;;;0;Non;117;34;61213;4047;3446;CA
11343;Décorations sur la voie publique;Jardiniere;2;;AVENUE DE;SAINT-MANDE;75012;12;10;10;Non;14.17571228;2015;;;;1;;111;13;JDE8773;SV;8773;CA
394;Promenades ouvertes;Jardin;22;;CHAUSSEE DE LA;MUETTE;75016;54911;60500;47868;Non;2749.41222402;1852;1996;;;1;Oui;116;31;59698;387;5010;CA
889;Jardinets décoratifs;Plate-bande;3;;BOULEVARD;EDGAR QUINET;75014;686;1812;1812;Oui;686.94727911;;;;;3;Non;114;5;0;969;3801;CA
375;Jardinets décoratifs;Jardinet;6;;RUE DU;COLONEL COLONNA D'ORNANO;75015;800;765;765;Non;353.83897899;1981;;;;7;;115;25;56395;2291;3785;CA
11431;Ephémères, partagés, pédagogiques;Jardin partage;17;;RUE DES;PERICHAUX;75015;695;350;350;Oui;113.21893846;2008;;JARDIN'AGES;;1;Non;115;28;0;3209;0;0
11654;Ephémères, partagés, pédagogiques;Jardin partage;69;;RUE;VIOLET;75015;146;140;140;Oui;47.21385227;2013;;LA MAISON VIOLETTE;;1;Non;115;26;131003;1253;9339;CA
10946;Décorations sur la voie publique;Jardiniere;23;;PLACE DU;TROCADERO ET DU ONZE NOVEMBRE;75016;131;112;112;Non;142.38959293;;;;;1;;116;33;JDE7441;SV;7441;CA
11451;Ephémères, partagés, pédagogiques;Jardin partage;24;;AVENUE DE;CLICHY;75018;213;150;150;Oui;60.88001394;2007;;JARDIN DES DEUX NETHES;;1;Non;118;37;62997;785;0;0
670;Promenades ouvertes;Square;73;;ALLEE;DARIUS MILHAUD;75019;1994;1950;1425;Oui;210.90182896;1992;;;;1;Non;119;41;64598;1036;3567;CA
10898;Décorations sur la voie publique;Jardiniere;2;;RUE;ANDRE DUBOIS;75019;59;44;44;Non;87.24144621;;;;;8;;119;40;JDE7530;SV;7530;CA
11480;Décorations sur la voie publique;Jardiniere;21;;AVENUE;RENE FONCK;75019;163;159;159;Non;61.69347955;2013;;;;1;;119;43;JDE10269;SV;10269;CA
11513;Ephémères, partagés, pédagogiques;Jardin partage;5;;PLACE DE LA;FONTAINE AUX LIONS;75019;2107;2000;2000;Oui;295.59999276;2009;;;;1;Non;119;41;0;294;6689;CP
11545;Périphérique;Talus;0;;;;75019;2199;;;Non;561.04900109;;;;;1;;999;;0;0;0;0
732;Périphérique;Talus;0;;;;75019;2309;;;Non;510.75947009;;;;;1;;999;;0;0;0;0
736;Périphérique;Talus;0;;;;75019;1307;;;Non;486.04992831;;;;;1;;9;;0;0;0;0
264;Périphérique;Talus;0;;;;75013;627;;;Non;289.23833888;;;;;1;;9;;0;0;0;0
766;Promenades ouvertes;Jardin;1;;RUE DU;PRESSOIR;75020;497;503;233;Oui;131.43171441;1975;;;;1;Non;120;44;68034;3396;3413;CA
11467;Décorations sur la voie publique;Jardiniere;13;V;AVENUE DE LA;PORTE DES LILAS;75019;163;325;325;Non;102.75964596;2009;;;;3;;119;43;JDE8243;SV;8243;CA
807;Périphérique;Talus;0;;;;75020;6096;;;Non;1203.86163386;;;;;1;;9;;0;0;0;0
11210;Murs végétalisés;Murs vegetalises;7;;PASSAGE DE;LAGNY;75020;1;;;Non;6.79039404;2009;;;;2;;120;47;JDE7598;SV;7598;CP
204;Périphérique;Talus;0;;;;75012;2166;;;Non;292.64203241;;;;;1;;9;;0;0;0;0
635;Périphérique;Talus;0;;;;75018;1105;;;Non;259.6287222;;;;;1;;999;;0;0;0;0
641;Périphérique;Talus;0;;;;75018;284;;;Non;113.84898793;;;;;1;;999;;0;0;0;0
646;Périphérique;Talus;0;;;;75018;832;;;Non;234.02372032;;;;;1;;999;;0;0;0;0
648;Périphérique;Talus;0;;;;75018;3046;;;Non;434.50175111;;;;;1;;999;;0;0;0;0
267;Périphérique;Talus;0;;;;75013;1459;;;Non;172.65217976;;;;;1;;9;;0;0;0;0
11612;Décorations sur la voie publique;Jardiniere;13;;RUE;JEAN JACQUES AUDUBON;75012;50;70;70;Non;28.48275748;2012;;;;1;;111;15;JDE8772;222;8772;CA
11648;Périphérique;Talus;0;;;;75016;1162;;;Non;190.61599374;;;;;1;;9999;;0;0;0;0
11674;Périphérique;Talus;0;;;;75016;3168;;;Non;418.067389;;;;;1;;9999;;0;0;0;0
11724;Promenades ouvertes;Jardin;98;;BOULEVARD;ARAGO;75014;5400;5500;4201;Oui;300.38339203;2018;;;;1;Non;114;5;274456;3660;9934;CA
11764;Promenades ouvertes;Promenade;60;;AVENUE;JEAN MOULIN;75014;15469;15500;;Oui;1271.11004669;2019;;;;1;Non;114;23;339068;5876;10528;CP
11773;Jardins privatifs;Promenade;77;;RUE DE;CRIMEE;75019;9475;;;Oui;1407.70845568;;;;;4;Non;119;42;0;NT;10535;CP
11793;Promenades ouvertes;Promenade;11;;RUE DE LA;MARE;75020;5799;5000;2570;Oui;;2018;;;;1;Non;120;44;259189;1221;10563;CP
11800;Murs végétalisés;Murs vegetalises;199;;RUE DU;CHEVALERET;75013;7;;;Non;;2017;;;;1;;113;18;JDE9611;SV;9611;CA
11862;Ephémères, partagés, pédagogiques;Jardin partage;18;;PASSAGE DES;SOUPIRS;75020;344;360;360;Oui;;2006;;JARDIN DES SOUPIRS;;1;Non;120;45;68749;883;6701;CA
11877;Ephémères, partagés, pédagogiques;Jardin partage;7;;RUE;HENRI DUVERNOIS;75020;333;325;325;Oui;;2009;;REFUGE URBAIN JOSEPH PYTHON;;1;Non;120;46;0;1494;8167;CA
11910;Murs végétalisés;Murs vegetalises;53;;RUE;PELLEPORT;75020;;;;Non;;2017;;;;33;;120;46;JDE9644;SV;9644;CA
11940;Décorations sur la voie publique;Jardiniere;10;V;RUE;LALLY-TOLLENDAL;75019;124;120;120;Non;;2019;;;;4;;119;42;JDE10708;SV;10708;CA
11946;Décorations sur la voie publique;Jardiniere;1;U;VOIE;DZ/13;75013;34;35;35;Non;;2019;;;;6;;113;18;JDE10726;SV;10726;CA
11699;Murs végétalisés;Murs vegetalises;40;;RUE DU;CHATEAU LANDON;75010;1;;;Non;11.47229252;2015;;;;6;;104;10;JDE9586;SV;9586;CA
11999;Décorations sur la voie publique;Jardiniere;11;;RUE;CHARLES NICOLLE;75012;75;67;67;Non;;2020;;;;1;;111;15;JDE11572;SV;11572;CP
12007;Décorations sur la voie publique;Jardiniere;52;V;BOULEVARD DE;VAUGIRARD;75015;1036;1000;1000;Non;;2019;;;;29;;115;24;JDE11586;SV;11586;CP
12022;Murs végétalisés;Murs vegetalises;9;;RUE DES;ANGLAIS;75005;;9;9;Non;;2017;;;;2;;113;4;0;SV;0;CP
12033;Murs végétalisés;Murs vegetalises;5;X;AVENUE DES;CHAMPS ELYSEES;75008;;10;10;Non;;2015;;JARDINS DES CHAMPS ELYSEES;;1;;104;8;0;SV;0;0
12034;Murs végétalisés;Murs vegetalises;7;;RUE;LAURE DIEBOLD;75008;;;;Non;;2020;;JARDIN TERESKA TORRES-LEVIN;;1;;104;8;0;SV;0;0
12036;Murs végétalisés;Murs vegetalises;1;;PLACE;ADOLPHE MAX;75009;;10;10;Non;;2015;;SQUARE BERLIOZ;;1;;104;8;0;SV;0;0
12085;Promenades ouvertes;Promenade;100;;RUE;BELLIARD;75018;7619;0;0;Oui;;9999;;;;0;Non;118;38;0;0;11646;CP
12092;Murs végétalisés;Murs vegetalises;1;;RUE;RENE RAVAUD;75015;;44;44;Non;;2015;;SQUARE CARLO SARRABEZOLLES;;1;;115;29;0;4297;0;0
12098;Murs végétalisés;Murs vegetalises;2;;RUE DE LA;MONTAGNE DE LA FAGE;75015;;16;16;Non;;2016;;PARC ANDRE CITROEN;;1;;115;27;0;3244;0;0
12100;Murs végétalisés;Murs vegetalises;2;;PLACE DES;INSURGES DE VARSOVIE;75015;;46;46;Non;;2015;;SQUARE DE LA PORTE DE LA PLAINE;;1;;115;28;0;3216;0;0
12116;Murs végétalisés;Murs vegetalises;18;;BOULEVARD;PERSHING;75017;;220;220;Non;;2016;;JARDINET DU PARC DE STATIONNEMENT POUR AUTOCARS BD PERSHING;;1;;117;34;0;4317;0;0
12118;Murs végétalisés;Murs vegetalises;25;;RUE;LOUIS PASTEUR VALLERY RADOT;75018;;45;45;Non;;2016;;SQUARE DE LA RUE HENRI HUCHARD;;1;;118;38;0;4150;0;0
12143;Promenades ouvertes;Promenade;2;Z;VOIE;CV/18;75018;2413;2395;2395;Oui;;2020;;;;1;;118;38;385886;4971;11651;CP
10724;Décorations sur la voie publique;Jardiniere;43;;AVENUE;JEAN JAURES;75019;69;90;90;Non;88.19731189;2005;;;;1;;119;42;JDE7540;SV;7540;CA
11898;Murs végétalisés;Murs vegetalises;16;;RUE;FULTON;75013;3;;;Non;;2017;;;;1;;113;18;JDE9678;SV;9678;CA
12900;Décorations sur la voie publique;Jardiniere;32;V;PLACE;JEANNE D ARC;75013;447;450;450;Non;;2019;;;;2;;113;18;JDE11859;SV;11859;CP
12917;Décorations sur la voie publique;Jardiniere;1;;VOIE;CT/18;75018;117;160;160;Non;;2021;;;;10;;118;38;JDE11876;SV;11876;CP
12931;Décorations sur la voie publique;Jardiniere;8;;RUE;MONTCALM;75018;112;112;112;Non;;2019;;;;2;;118;37;JDE11945;SV;11945;CP
10393;Décorations sur la voie publique;Jardiniere;21;;RUE DU;JURA;75013;93;111;111;Non;57.46783447;2006;;;;4;;113;19;JDE7344;SV;7344;CA
10814;Décorations sur la voie publique;Jardinet;71;Z;QUAI;ANDRE CITROEN;75015;2401;2100;2100;Non;753.65140816;;;;;21;;115;27;248657;1835;7423;CA
10246;Décorations sur la voie publique;Decoration;13;;RUE DE L';HOTEL COLBERT;75005;3;3;3;Non;6.49502864;;;;;1;;113;4;JDE7174;SV;7174;CA
228;Promenades ouvertes;Parc;19;;RUE DE LA;POTERNE DES PEUPLIERS;75013;52716;55580;30250;Oui;1721.09564679;1951;;;;1;Non;113;20;52063;660;4997;CA
10255;Décorations sur la voie publique;Decoration;12;;RUE;PIERRE BROSSOLETTE;75005;97;132;132;Non;59.90766132;;2019;;;4;;113;4;JDE7183;SV;7183;CA
10418;Décorations sur la voie publique;Jardiniere;167;V;AVENUE DU;MAINE;75014;146;138;138;Non;156.56145986;2002;;;;4;;114;22;JDE7387;SV;7387;CA
11242;Décorations sur la voie publique;Jardiniere;12;;RUE;ALBERT EINSTEIN;75013;70;85;85;Non;39.921685;2010;;;;1;;113;17;JDE6703;SV;6703;CA
10975;Jardinets décoratifs;Jardinet;7;;PLACE;SAINT GERMAIN DES PRES;75006;58;106;106;Oui;40.10832264;1986;;;;1;Non;114;5;44945;322;3724;CA
11305;Décorations sur la voie publique;Jardiniere;64;;RUE DU;CHEVALERET;75013;907;1440;1440;Non;348.55345973;2013;;JARDINIERES DE LA PROMENADE PLANTEE TOLBIAC CHEVALERET;;5;;113;18;JDE8344;SV;8344;CA
10788;Décorations sur la voie publique;Jardiniere;5;V;PLACE;BOULNOIS;75017;31;33;33;Non;22.04848606;;;;;1;;117;34;JDE7500;SV;7500;CA
11124;Murs végétalisés;Murs vegetalises;6;;RUE DU;FOUARRE;75005;8;52;52;Non;30.96846687;2005;;SQUARE RENE VIVIANI-MONTEBELLO;;1;;113;4;JDE7195;SV;7195;CP
919;Cimetières;Cimetière;20;;AVENUE;RACHEL;75018;115276;104800;;Oui;1495.88594031;1825;;;;1;Non;16;160;62459;1280;5076;CP
10290;Décorations sur la voie publique;Jardiniere;11;;RUE DE;COURCELLES;75008;92;100;70;Non;77.36365254;;;;;1;;104;9;JDE7219;SV;7219;CP
10853;Décorations sur la voie publique;Jardiniere;1;V;PLACE;STUART MERRILL;75017;29;30;30;Non;21.79341777;;;;;1;;117;35;JDE7485;SV;7485;CA
10826;Décorations sur la voie publique;Decoration;1;;PLACE;ROCHAMBEAU;75016;157;152;152;Non;66.59499153;;;;;1;;116;33;JDE7448;SV;7448;CA
196;Cimetières;Cimetière;329;;RUE DE;CHARENTON;75012;6181;6100;;Oui;338.2371019;;;;;1;Non;15;158;50177;3876;5079;CP
378;Cimetières;Cimetière;320;;RUE;LECOURBE;75015;15916;15900;;Oui;591.02751086;1798;;;;1;Non;17;155;56201;163;5073;CP
10859;Décorations sur la voie publique;Jardiniere;2;;AVENUE DE LA;PORTE D'ASNIERES;75017;513;515;515;Non;218.78446151;;;;;3;;117;35;JDE7497;SV;7497;CA
10881;Décorations sur la voie publique;Decoration;1;;RUE DE L';ABBE PATUREAU;75018;44;40;40;Non;50.04785452;;;;;3;;118;37;JDE7513;SV;7513;CA
11316;Promenades ouvertes;Square;81;;CHEMIN DE;CEINTURE DU LAC INFERIEUR;75016;4021;4021;;Non;248.03224327;;;Hippique;;1;;8;56;58942;3708;7804;CP
10003;Cimetières;Cimetière;45;;AVENUE;MARX DORMOY;92220;629154;615200;;Oui;3485.26232976;1886;;;;1;Non;12;153;72585;A92007;5083;CP
10891;Décorations sur la voie publique;Jardinet;2;V;PLACE;RHIN ET DANUBE;75019;182;205;205;Non;56.66786381;;;;;1;;119;43;JDE7397;SV;7397;CA
11329;Promenades ouvertes;Pelouse;39;;AVENUE DE;SAINT CLOUD;75016;34503;34506;;Non;1097.67413694;;;St Cloud;;1;;8;55;58966;3708;8006;CP
10950;Décorations sur la voie publique;Jardiniere;64;;RUE;STEPHENSON;75018;24;27;27;Non;27.54058741;2006;;;;1;;118;39;62356;SV;6210;CA
10389;Décorations sur la voie publique;Jardiniere;77;;RUE;DUNOIS;75013;64;84;84;Non;79.44487276;;;;;5;;113;18;JDE7342;SV;7342;CA
10269;Décorations sur la voie publique;Plate-bande;1;;IMPASSE DE;CONTI;75006;17;23;23;Non;64.5478338;;;;;1;;114;5;JDE7198;SV;7198;CA
10793;Décorations sur la voie publique;Jardiniere;49;;RUE DE LA;CONVENTION;75015;59;100;100;Non;41.588119;;;;;1;;115;26;JDE7399;SV;7399;CA
11421;Ephémères, partagés, pédagogiques;Jardin partage;1;;RUE;GOUTHIERE;75013;80;65;65;Oui;35.87192374;2009;;;;1;Non;113;20;0;2077;6674;CP
11432;Ephémères, partagés, pédagogiques;Jardin partage;21;;RUE DU;COTENTIN;75015;217;142;142;Oui;41.60210459;2009;;FLEURS DE BITUME;;1;Non;115;24;237584;3229;8160;CA
11026;Jardinets décoratifs;Jardinet;69;;RUE;VIOLET;75015;146;150;150;Oui;47.25370443;;;;;1;Non;115;26;131001;1253;3746;CA
461;Promenades ouvertes;Promenade;8;;BOULEVARD DE;REIMS;75017;3909;4310;3166;Oui;680.61054917;1978;;;1991;0;Oui;117;34;61055;1051;3442;CA
11247;Décorations sur la voie publique;Jardiniere;110;V;BOULEVARD;PEREIRE;75017;1200;1413;1413;Non;1068.1294612;;;;;15;;117;35;JDE8017;SV;8017;CA
10879;Décorations sur la voie publique;Jardiniere;35;;RUE DU;MONT CENIS;75018;11;14;14;Non;18.80267964;;;;;1;;118;37;JDE6234;SV;6234;CA
10969;Promenades ouvertes;Jardin;11;;AVENUE DE LA;PORTE DES LILAS;75019;15244;15235;12500;Oui;786.64275008;2010;2011;;;1;Oui;119;43;117374;3017;6396;CA
11465;Promenades ouvertes;Jardin;2;;RUE;CESARIA EVORA;75019;13327;10800;6626;Non;1295.68472508;2019;;JARDIN ROSA PARKS;2019;1;Oui;119;42;287539;3123;9677;CA
11486;Décorations sur la voie publique;Jardinet;91;;RUE;CURIAL;75019;724;1050;1050;Non;118.28766484;2013;;;;1;;119;42;JDE10276;SV;10276;CA
11489;Décorations sur la voie publique;Jardiniere;2;;AVENUE DE LA;PORTE DE CHATILLON;75014;807;800;800;Non;201.61893286;2016;;;;2;;114;23;JDE10257;SV;10257;CA
11494;Décorations sur la voie publique;Jardiniere;8;;IMPASSE DES;ORTEAUX;75020;85;90;90;Non;53.19993199;2016;;;;1;;120;46;JDE10280;SV;10280;CA
11497;Décorations sur la voie publique;Jardiniere;10;V;RUE DE LA;PETITE ARCHE;75016;321;280;280;Non;97.34244717;2016;;;;1;;116;32;JDE10410;SV;10410;CA
11526;Ephémères, partagés, pédagogiques;Jardin partage;38;;QUAI DE LA;MARNE;75019;1054;1050;1050;Oui;182.94557632;2015;;CHARMANTE PETITE CAMPAGNE URBAINE;;1;Non;119;42;0;3061;9163;CA
11536;Ephémères, partagés, pédagogiques;Jardin partage;5;;RUE;VAUCANSON;75003;133;136;136;Oui;54.33301343;;;AU P'TIT VERTBOIS;;1;Non;101;2;0;1401;0;0
729;Périphérique;Talus;0;;;;75019;549;;;Non;262.12087698;;;;;1;;999;;0;0;0;0
11556;Décorations sur la voie publique;Jardiniere;7;;RUE DE;NOISY LE SEC;75020;1313;1275;1275;Non;519.72767777;2016;;;;3;;120;45;JDE8239;SV;8239;CA
11824;Périphérique;Talus;0;;;;75020;336;;;Non;138.76318933;;;;;1;;9;;0;0;0;0
11573;Périphérique;Talus;0;;;;75012;1336;;;Non;261.86133933;;;;;1;;9;;0;0;0;0
11577;Périphérique;Talus;0;;;;75012;1141;;;Non;211.41009744;;;;;1;;9;;0;0;0;0
207;Périphérique;Talus;0;;;;75012;3338;;;Non;340.42955494;;;;;1;;9;;0;0;0;0
11615;Périphérique;Talus;0;;;;75013;211;;;Non;142.89988465;;;;;1;;9;;0;0;0;0
321;Périphérique;Talus;0;;;;75014;709;;;Non;172.79334084;;;;;1;;9999;;0;0;0;0
11652;Périphérique;Talus;0;;;;75016;4971;;;Non;628.42931866;;;;;1;;9999;;0;0;0;0
11663;Périphérique;Talus;0;;;;75016;1232;;;Non;526.5776421;;;;;1;;9999;;0;0;0;0
11676;Périphérique;Talus;0;;;;75016;2673;;;Non;394.46626215;;;;;1;;9999;;0;0;0;0
438;Périphérique;Talus;0;;;;75016;641;3252;3035;Non;241.46812425;;;;;1;;999;;0;0;0;0
11693;Murs végétalisés;Murs vegetalises;28;;RUE DU;GENERAL FOY;75008;1;;;Non;8.53444636;2016;;;;3;;104;8;JDE9580;SV;9580;CA
11710;Murs végétalisés;Murs vegetalises;244;;RUE DE;BERCY;75012;1;;;Non;13.78486432;2016;;;;10;;111;15;JDE9604;SV;9604;CA
11720;Murs végétalisés;Murs vegetalises;22;;BOULEVARD;KELLERMANN;75013;2;;;Non;17.39279784;2017;;;;8;;113;20;JDE9676;SV;9676;CA
11767;Jardins privatifs;Promenade;1;;RUE DES;PERICHAUX;75015;14177;;;Oui;1121.02163578;;;;;2;Non;115;28;0;105;10525;CP
11778;Décorations sur la voie publique;Jardiniere;7;Z;RUE DES;FOSSES SAINT-BERNARD;75005;424;696;696;Non;203.26272789;2015;;;;20;;113;4;JDE10484;SV;10484;CA
11777;Décorations sur la voie publique;Jardiniere;1;;RUE;EDOUARD QUENU;75005;26;14;14;Non;32.23874802;2018;;;;2;;113;4;JDE10481;SV;10481;CA
11810;Décorations sur la voie publique;Jardiniere;25;;RUE;GINOUX;75015;85;82;82;Non;;2018;;;;2;;115;26;JDE10403;SV;10403;CA
11476;Décorations sur la voie publique;Jardiniere;24;;RUE;DROUOT;75009;112;160;160;Non;93.01532958;2016;;JARDINIERE DE LA RUE DROUOT;;1;;104;8;JDE9674;SV;9674;CA
11906;Murs végétalisés;Murs vegetalises;5;;AVENUE;AMBROISE RENDU;75019;3;;;Non;;9999;;;;0;;119;43;JDE9633;SV;9633;CA
11309;Ephémères, partagés, pédagogiques;Jardin partage;20;BIS;RUE;ROTTEMBOURG;75012;2721;340;340;Oui;398.99190859;2009;;;;1;Non;111;13;50070;928;6673;CA
11942;Décorations sur la voie publique;Jardiniere;1;;RUE;PAUL MEURICE;75020;1499;1703;1703;Non;;2019;;;;9;;120;45;JDE10717;SV;10717;CA
10822;Décorations sur la voie publique;Jardinet;19;;AVENUE DU;PARC DE PASSY;75016;70;70;70;Non;147.399831;;;;;5;;116;33;JDE7443;SV;7443;CA
12001;Décorations sur la voie publique;Jardiniere;1;W;RUE DE;CHAMBERTIN;75012;230;230;230;Non;;2019;;;;6;;111;15;JDE11574;SV;11574;CP
12013;Murs végétalisés;Murs vegetalises;5;;RUE DU;PARC ROYAL;75003;;100;100;Non;;2015;;SQUARE LEOPOLD ACHILLE;;1;;101;2;0;SV;0;0
12028;Murs végétalisés;Murs vegetalises;2;;RUE DE;SEINE;75006;;30;30;Non;;2015;;SQUARE HONORE CHAMPION;;1;;114;5;0;SV;0;0
12061;Murs végétalisés;Murs vegetalises;1;;RUE;SAINTE CLAIRE DEVILLE;75012;;12;12;Non;;2015;;SQUARE SAINT ELOI;;1;;111;15;0;535;0;0
12068;Murs végétalisés;Murs vegetalises;15;;RUE;DUCHEFDELAVILLE;75013;;85;85;Non;;2019;;SQUARE HELOISE ET ABELARD;;1;;113;18;0;4065;0;0
12093;Murs végétalisés;Murs vegetalises;1;;RUE;RENE RAVAUD;75015;;18;18;Non;;2018;;SQUARE CARLO SARRABEZOLLES;;1;;115;29;0;4297;0;0
12129;Murs végétalisés;Murs vegetalises;39;;RUE;COMPANS;75019;;20;20;Non;;2015;;JARDIN DE LA RUE COMPANS;;1;;119;43;0;1943;0;0
12134;Murs végétalisés;Murs vegetalises;94;;RUE;CURIAL;75019;;12;12;Non;;2017;;JARDIN CURIAL - CITE MICHELET;;1;;119;42;0;5723;0;0
12140;Murs végétalisés;Murs vegetalises;72;;RUE;GEORGES LARDENNOIS;75019;;22;22;Non;;2018;;TALUS RUES LARDENNOIS - CHAUFOURNIERS;;2;;119;42;0;90;0;0
12144;Murs végétalisés;Murs vegetalises;126;;RUE DE;BAGNOLET;75020;;80;80;Non;;2016;;SQUARE ANTOINE BLONDIN;;1;;120;46;0;1185;0;0
12146;Murs végétalisés;Murs vegetalises;26;;RUE;DURIS;75020;;130;130;Non;;2016;;JARDIN DES CENDRIERS (DIT DES AMANDIERS);;1;;120;44;0;4851;0;0
12149;Murs végétalisés;Murs vegetalises;45;;RUE DES;COURONNES;75020;;160;160;Non;;2015;;PARC DE BELLEVILLE;;1;;120;44;0;1727;0;0
12169;Décorations sur la voie publique;Jardiniere;7;;PARVIS;ALAN TURING;75013;;;;Non;;2018;;;;;;113;18;JDE11681;SV;11681;CP
12188;Murs végétalisés;Murs vegetalises;26;;RUE;TOURNEFORT;75005;;;;Non;;9999;;;;0;;113;4;JDE11842;SV;11842;CP
12168;Décorations sur la voie publique;Jardiniere;199;;AVENUE;DAUMESNIL;75012;790;800;800;Non;;2020;;;;21;;111;13;JDE11680;SV;11680;CP
11835;Promenades ouvertes;Parc;7;;ND;CD/18;75018;63217;28841;;;0.0;2020;;;;1;;118;39;328035;4782;10238;CP
12902;Décorations sur la voie publique;Jardiniere;1;X;PLACE DE;PORT AU PRINCE;75013;443;450;450;Non;;2021;;;;7;;113;17;JDE11861;SV;11861;CP
12938;Décorations sur la voie publique;Jardiniere;5;;RUE;MILTON;75009;124;;;Non;;9999;;;;5;;104;8;JDE12009;SV;12009;CP
12946;Décorations sur la voie publique;Jardiniere;21;;PLACE DE LA;CHAPELLE;75018;132;130;130;Non;;2020;;;;3;;118;39;JDE12018;SV;12018;CP
13;Promenades ouvertes;Square;9;;RUE DU;GRAND VENEUR;75003;948;987;420;Oui;124.00120456;1988;;SQUARE SAINT GILLES - GRAND VENEUR;2010;1;Non;101;2;42559;1310;3690;CA
77;Promenades ouvertes;Promenade;16;V;ESPLANADE DU;SOUVENIR FRANCAIS;75007;10851;11964;10585;Non;1392.25869595;1900;;DE L'AVENUE DE BRETEUIL;2004;1;Oui;101;6;45865;3630;4971;CP
27;Promenades ouvertes;Square;6;;RUE DES;BLANCS MANTEAUX;75004;1161;1140;350;Oui;162.64047479;1960;;;;1;Non;101;3;43704;1126;3477;CA
875;Promenades ouvertes;Square;53;;RUE DU;CHATEAU DES RENTIERS;75013;2830;2816;2014;Oui;214.74611678;2003;;SQUARE CHATEAU DES RENTIERS;2004;1;Non;113;163;52023;1815;3542;CA
277;Promenades ouvertes;Parc;28;;BOULEVARD;JOURDAN;75014;150832;154640;116397;Oui;2857.78897842;1875;;;;1;Non;114;21;55622;122;4999;CP
353;Promenades ouvertes;Jardin;187;;RUE DE;LOURMEL;75015;2863;2280;1760;Oui;235.57133148;1976;;;;1;Non;115;29;56563;3101;3389;CA
402;Promenades ouvertes;Square;23;;AVENUE DU;MARECHAL MAUNOURY;75016;2057;2282;1641;Oui;196.07609088;1930;1994;;1930;1;Oui;116;31;59728;390;3544;CA
471;Promenades ouvertes;Square;30;;RUE;DAUTANCOURT;75017;875;880;405;Oui;176.85096789;1996;;;;1;Non;117;36;60939;1858;3565;CA
473;Promenades ouvertes;Jardin;6;;PLACE;PAUL TORTELIER;75017;6085;6346;3035;Oui;412.30105107;2005;;DE LA ZAC D'ASNIERES - LES HAUTS DE MALESHERBES;2007;1;Non;117;35;61939;4569;3356;CA
10031;Promenades ouvertes;Jardin;21;;RUE DES;BLANCS MANTEAUX;75004;1129;969;530;Oui;166.57200908;2001;;;;1;Non;101;3;42822;1426;4960;CA
