# name;planet_status;mass;mass_error_min;mass_error_max;mass_sini;mass_sini_error_min;mass_sini_error_max;radius;radius_error_min;radius_error_max;orbital_period;orbital_period_error_min;orbital_period_error_max;semi_major_axis;semi_major_axis_error_min;semi_major_axis_error_max;eccentricity;inclination;angular_distance;discovered;detection_type;mag_v;star_distance;star_mass
Kepler-1682 b;Confirmed;;;;;;;0.258;;;14.8334;;;0.1152;;;;85.94;;2020;Primary Transit;;1197.63;0.926
Kepler-1683 b;Confirmed;;;;;;;0.167;;;15.0337;;;0.1155;;;;89.95;;2020;Primary Transit;;748.64;0.909
Kepler-1684 b;Confirmed;;;;;;;0.256;;;47.7055;;;0.2259;;;;87.66;;2020;Primary Transit;;633.05;0.672
Kepler-1685 b;Confirmed;;;;;;;0.23;;;20.4905;;;0.1485;;;;86.52;;2020;Primary Transit;;1178.83;1.038
Kepler-1686 b;Confirmed;;;;;;;0.127;;;9.30987;;;0.0866;;;;89.38;;2020;Primary Transit;;745.49;0.996
Kepler-1687 b;Confirmed;;;;;;;0.148;;;5.77954;;;0.0522;;;;87.09;;2020;Primary Transit;;422.02;0.565
Kepler-1688 b;Confirmed;;;;;;;0.113;;;5.62012;;;0.0608;;;;89.38;;2020;Primary Transit;;567.45;0.949
Kepler-1689 b;Confirmed;;;;;;;0.084;;;8.483;;;0.0791;;;;89.95;;2020;Primary Transit;;296.63;0.916
Kepler-169 b;Confirmed;;;;;;;0.101;0.007;0.007;3.250619;1.3e-05;1.3e-05;0.04;;;;;;2014;Primary Transit;;411.34;0.86
Kepler-169 c;Confirmed;;;;;;;0.108;0.007;0.007;6.195469;2.9e-05;2.9e-05;0.062;;;;;;2014;Primary Transit;;411.34;0.86
Kepler-169 d;Confirmed;;;;;;;0.112;0.008;0.008;8.348125;4.1e-05;4.1e-05;0.075;;;;;;2014;Primary Transit;;411.34;0.86
Kepler-169 e;Confirmed;;;;;;;0.196;0.026;0.026;13.767102;3.4e-05;3.4e-05;0.105;;;;;;2014;Primary Transit;;411.34;0.86
Kepler-169 f;Confirmed;;;;;;;0.23;0.021;0.021;87.090195;0.000406;0.000406;0.359;;;;;;2014;Primary Transit;;411.34;0.86
Kepler-1690 b;Confirmed;;;;;;;0.251;;;234.636;;;0.7143;;;;89.95;;2020;Primary Transit;;718.3;0.882
Kepler-1691 b;Confirmed;;;;;;;0.164;;;3.8482;;;0.0514;;;;87.66;;2020;Primary Transit;;1315.6;1.221
Kepler-1692 b;Confirmed;;;;;;;0.099;;;5.95966;;;0.0646;;;;89.95;;2020;Primary Transit;;601.22;1.012
Kepler-1693 b;Confirmed;;;;;;;0.115;;;12.0999;;;0.1015;;;;89.95;;2020;Primary Transit;;776.92;0.95
Kepler-1694 b;Confirmed;;;;;;;0.105;;;3.89526;;;0.0426;;;;89.38;;2020;Primary Transit;;521.0;0.675
Kepler-1695 b;Confirmed;;;;;;;0.1;;;4.7329;;;0.0526;;;;88.81;;2020;Primary Transit;;809.5;0.865
Kepler-1696 b;Confirmed;;;;;;;0.251;;;65.9409;;;0.3245;;;;89.95;;2020;Primary Transit;;1571.34;1.047
Kepler-1697 b;Confirmed;;;;;;;0.112;;;33.4969;;;0.2008;;;;89.95;;2020;Primary Transit;;249.56;0.962
Kepler-1698 b;Confirmed;;;;;;;0.096;;;1.2107;;;0.0199;;;;19.48;;2020;Primary Transit;;223.78;0.717
Kepler-1699 b;Confirmed;;;;;;;0.14;;;3.49082;;;0.0417;;;;88.81;;2020;Primary Transit;;;0.791
Kepler-17 b;Confirmed;2.45;0.014;0.014;;;;1.31;0.02;0.02;1.4857108;2E-07;2E-07;0.02591;0.00037;0.00037;0.011;87.2;3.2e-05;2011;Primary Transit;14.0;800.0;1.16
Kepler-170 b;Confirmed;;;;;;;0.285;0.02;0.02;7.930592;1.4e-05;1.4e-05;0.08;;;;;;2014;Primary Transit;;754.64;
Kepler-170 c;Confirmed;;;;;;;0.255;0.015;0.015;16.665863;5.3e-05;5.3e-05;0.131;;;;;;2014;Primary Transit;;754.64;
Kepler-1700 b;Confirmed;;;;;;;0.259;;;234.239;;;0.8017;;;;88.81;;2020;Primary Transit;;732.73;1.249
Kepler-1701 b;Confirmed;;;;;;;0.198;;;169.134;;;0.5689;;;;89.95;;2020;Primary Transit;;594.1;0.864
Kepler-1702 b;Confirmed;;;;;;;0.143;;;18.5012;;;0.1281;;;;89.95;;2020;Primary Transit;;878.23;0.829
Kepler-171 b;Confirmed;;;;;;;0.209;0.094;0.094;4.166972;7E-06;7E-06;0.05;;;;;;2014;Primary Transit;;885.43;
Kepler-171 c;Confirmed;;;;;;;0.228;0.103;0.103;11.463462;2.6e-05;2.6e-05;0.098;;;;;;2014;Primary Transit;;885.43;
Kepler-171 d;Confirmed;;;;;;;0.169;0.08;0.08;39.595519;0.000699;0.000699;0.223;;;;;;2014;Primary Transit;;885.43;
Kepler-172 b;Confirmed;;;;;;;0.21;0.037;0.037;2.940309;7E-06;7E-06;0.04;;;;;;2014;Primary Transit;;848.56;0.86
Kepler-172 c;Confirmed;;;;;;;0.255;0.047;0.047;6.388996;2E-05;2E-05;0.068;;;;;;2014;Primary Transit;;848.56;0.86
Kepler-172 d;Confirmed;;;;;;;0.201;0.036;0.036;14.627119;0.000105;0.000105;0.118;;;;;;2014;Primary Transit;;848.56;0.86
Kepler-172 e;Confirmed;;;;;;;0.246;0.05;0.05;35.118736;0.000253;0.000253;0.211;;;;;;2014;Primary Transit;;848.56;0.86
Kepler-173 b;Confirmed;;;;;;;0.115;0.057;0.057;4.263742;2.1e-05;2.1e-05;0.048;;;;;;2014;Primary Transit;;853.39;0.78
Kepler-173 c;Confirmed;;;;;;;0.217;0.108;0.108;8.005777;1.5e-05;1.5e-05;0.074;;;;;;2014;Primary Transit;;853.39;0.78
Kepler-174 b;Confirmed;;;;;;;0.175;0.01;0.01;13.98179;2.4e-05;2.4e-05;0.1;;;;;;2014;Primary Transit;;389.07;
Kepler-174 c;Confirmed;;;;;;;0.133;0.008;0.008;44.000529;0.000265;0.000265;0.214;;;;;;2014;Primary Transit;;389.07;
Kepler-174 d;Confirmed;;;;;;;0.195;0.012;0.012;247.35373;0.002001;0.002001;0.677;;;;;;2014;Primary Transit;;389.07;
Kepler-175 b;Confirmed;;;;;;;0.228;0.114;0.114;11.903515;4.6e-05;4.6e-05;0.105;;;;;;2014;Primary Transit;;1363.39;1.04
Kepler-175 c;Confirmed;;;;;;;0.277;0.139;0.139;34.035257;0.000279;0.000279;0.213;;;;;;2014;Primary Transit;;1363.39;1.04
Kepler-176 b;Confirmed;;;;;;;0.128;0.065;0.065;5.433074;2.4e-05;2.4e-05;0.058;;;;;;2014;Primary Transit;;535.4;
Kepler-176 c;Confirmed;;;;;;;0.232;0.119;0.119;12.759712;3.3e-05;3.3e-05;0.102;;;;;;2014;Primary Transit;;535.4;
Kepler-176 d;Confirmed;;;;;;;0.224;0.118;0.118;25.751974;0.000115;0.000115;0.163;;;;;;2014;Primary Transit;;535.4;
Kepler-176 e;Confirmed;;;;;;;0.129;0.013;0.011;51.16579;0.0006432;0.0006432;;;;;;;2016;Primary Transit;;535.4;
Kepler-177 b;Confirmed;0.01837;0.00258;0.00271;;;;0.312;0.013;0.017;35.8601;0.0014;0.0015;;;;0.0;;;2013;Primary Transit;15.0;1497.42;0.92
Kepler-177 c;Confirmed;0.04625;0.00787;0.0085;;;;0.779;0.03;0.032;49.40926;0.00077;0.00078;;;;0.0;88.795;;2013;Primary Transit;15.0;1497.42;0.92
Kepler-178 b;Confirmed;;;;;;;0.259;0.112;0.112;9.576694;2.1e-05;2.1e-05;0.085;;;;;;2014;Primary Transit;;731.04;
Kepler-178 c;Confirmed;;;;;;;0.257;0.11;0.11;20.552802;6.6e-05;6.6e-05;0.142;;;;;;2014;Primary Transit;;731.04;
Kepler-178 d;Confirmed;;;;;;;0.352;0.152;0.152;96.678988;0.000702;0.000702;0.397;;;;;;2014;Primary Transit;;731.04;
Kepler-179 b;Confirmed;;;;;;;0.146;0.061;0.061;2.735926;8E-06;8E-06;0.036;;;;;;2014;Primary Transit;;616.39;
Kepler-179 c;Confirmed;;;;;;;0.178;0.072;0.072;6.40013;1.7e-05;1.7e-05;0.064;;;;;;2014;Primary Transit;;616.39;
Kepler-18 b;Confirmed;0.022;0.011;0.011;;;;0.178;0.009;0.009;3.504725;2.8e-05;2.8e-05;0.0447;0.0006;0.0006;0.0;84.92;;2011;Primary Transit;14.0;438.51;0.97
Kepler-18 c;Confirmed;0.054;0.006;0.006;;;;0.49;0.023;0.023;7.64159;3E-05;3E-05;0.0752;0.0011;0.0011;0.0;87.68;;2011;Primary Transit;14.0;438.51;0.97
Kepler-18 d;Confirmed;0.052;0.004;0.004;;;;0.623;0.029;0.029;14.85888;4E-05;4E-05;0.1172;0.0017;0.0017;0.0;88.07;;2011;Primary Transit;14.0;438.51;0.97
Kepler-180 b;Confirmed;;;;;;;0.134;0.06;0.06;13.817124;0.000155;0.000155;0.109;;;;;;2014;Primary Transit;;709.83;0.84
Kepler-180 c;Confirmed;;;;;;;0.269;0.12;0.12;41.885775;0.000228;0.000228;0.229;;;;;;2014;Primary Transit;;709.83;0.84
Kepler-181 b;Confirmed;;;;;;;0.113;0.055;0.055;3.137873;1.3e-05;1.3e-05;0.04;;;;;;2014;Primary Transit;;620.09;
Kepler-181 c;Confirmed;;;;;;;0.178;0.087;0.087;4.302149;8E-06;8E-06;0.049;;;;;;2014;Primary Transit;;620.09;
Kepler-182 b;Confirmed;;;;;;;0.23;0.105;0.105;9.825792;6.2e-05;6.2e-05;0.096;;;;;;2014;Primary Transit;;1621.79;1.14
Kepler-182 c;Confirmed;;;;;;;0.306;0.136;0.136;20.684342;9.7e-05;9.7e-05;0.157;;;;;;2014;Primary Transit;;1621.79;1.14
Kepler-183 b;Confirmed;;;;;;;0.184;0.079;0.079;5.687945;2E-05;2E-05;0.064;;;;;;2014;Primary Transit;;1082.6;
Kepler-183 c;Confirmed;;;;;;;0.203;0.087;0.087;11.637071;5.5e-05;5.5e-05;0.103;;;;;;2014;Primary Transit;;1082.6;
Kepler-184 b;Confirmed;;;;;;;0.211;0.119;0.119;10.687576;2.5e-05;2.5e-05;0.092;;;;;;2014;Primary Transit;;621.24;
Kepler-184 c;Confirmed;;;;;;;0.176;0.099;0.099;20.303005;8.7e-05;8.7e-05;0.141;;;;;;2014;Primary Transit;;621.24;
Kepler-184 d;Confirmed;;;;;;;0.222;0.126;0.126;29.022358;0.000176;0.000176;0.179;;;;;;2014;Primary Transit;;621.24;
Kepler-185 b;Confirmed;;;;;;;0.104;0.06;0.06;1.6329;5E-06;5E-06;0.026;;;;;;2014;Primary Transit;;473.07;0.79
Kepler-185 c;Confirmed;;;;;;;0.18;0.104;0.104;20.729042;9.7e-05;9.7e-05;0.139;;;;;;2014;Primary Transit;;473.07;0.79
Kepler-186 b;Confirmed;;;;;;;0.095;0.011;0.011;3.8867907;6.3e-06;6.2e-06;0.0343;0.0046;0.0046;;;;2014;Primary Transit;;172.0;0.54
Kepler-186 c;Confirmed;;;;;;;0.112;0.012;0.012;7.267302;1.1e-05;1.2e-05;0.0451;0.007;0.007;;;;2014;Primary Transit;;172.0;0.54
Kepler-186 d;Confirmed;;;;;;;0.125;0.014;0.014;13.342996;2.4e-05;2.5e-05;0.0781;0.01;0.01;;;;2014;Primary Transit;;172.0;0.54
Kepler-186 e;Confirmed;;;;;;;0.113;0.012;0.013;22.407704;7.2e-05;7.4e-05;0.11;0.015;0.015;;;;2014;Primary Transit;;172.0;0.54
Kepler-186 f;Confirmed;;;;;;;0.104;0.007;0.007;129.9441;0.0012;0.0013;0.432;0.053;0.171;0.04;89.96;;2014;Primary Transit;;172.0;0.54
Kepler-187 b;Confirmed;;;;;;;0.126;0.025;0.025;4.938864;5.8e-05;5.8e-05;0.059;;;;;;2014;Primary Transit;;1180.86;0.85
Kepler-187 c;Confirmed;;;;;;;0.238;0.046;0.046;10.640263;4.8e-05;4.8e-05;0.099;;;;;;2014;Primary Transit;;1180.86;0.85
Kepler-188 b;Confirmed;;;;;;;0.15;0.068;0.068;2.061897;1E-05;1E-05;0.032;;;;;;2014;Primary Transit;;996.09;
Kepler-188 c;Confirmed;;;;;;;0.285;0.129;0.129;5.996553;1.5e-05;1.5e-05;0.066;;;;;;2014;Primary Transit;;996.09;
Kepler-189 b;Confirmed;;;;;;;0.108;0.054;0.054;10.399931;8.5e-05;8.5e-05;0.088;;;;;;2014;Primary Transit;;601.75;0.79
Kepler-189 c;Confirmed;;;;;;;0.212;0.106;0.106;20.134866;5.7e-05;5.7e-05;0.137;;;;;;2014;Primary Transit;;601.75;0.79
Kepler-19 b;Confirmed;0.02643;0.00472;0.00503;;;;0.198;0.004;0.004;9.28716;6E-05;4E-05;0.085;0.0015;0.0006;0.12;89.94;;2011;Primary Transit;12.0;219.95;0.94
Kepler-19 c;Confirmed;0.04122;0.0085;0.0085;;;;;;;28.731;0.005;0.012;;;;0.21;;;2011;TTV;12.0;219.95;0.94
Kepler-19 d;Confirmed;0.07079;0.01762;0.00378;0.0708;0.018;0.0038;;;;62.95;0.3;0.04;;;;0.05;;;2017;Radial Velocity;12.0;219.95;0.94
Kepler-190 b;Confirmed;;;;;;;0.139;0.01;0.01;2.019999;3E-06;3E-06;0.03;;;;;;2014;Primary Transit;;438.88;0.84
Kepler-190 c;Confirmed;;;;;;;0.13;0.009;0.009;3.763024;9E-06;9E-06;0.045;;;;;;2014;Primary Transit;;438.88;0.84
Kepler-191 b;Confirmed;;;;;;;0.12;0.059;0.059;9.939632;6.6e-05;6.6e-05;0.087;;;;;;2014;Primary Transit;;604.75;0.85
Kepler-191 c;Confirmed;;;;;;;0.166;0.082;0.082;17.738506;8.2e-05;8.2e-05;0.128;;;;;;2014;Primary Transit;;604.75;0.85
Kepler-191 d;Confirmed;;;;;;;0.203;0.012;0.014;5.94504102;7.63e-06;7.63e-06;;;;;;;2016;Primary Transit;;604.75;0.85
Kepler-192 b;Confirmed;;;;;;;0.244;0.04;0.04;9.926746;1.8e-05;1.8e-05;0.09;;;;;;2014;Primary Transit;;664.14;
Kepler-192 c;Confirmed;;;;;;;0.249;0.046;0.046;21.2234;7.6e-05;7.6e-05;0.15;;;;;;2014;Primary Transit;;664.14;
Kepler-192 d;Confirmed;;;;;;;0.091;0.006;0.009;6.47027579;4.32e-05;4.32e-05;;;;;;;2016;Primary Transit;;664.14;
Kepler-193 b;Confirmed;;;;;;;0.213;0.096;0.096;11.38848;5.4e-05;5.4e-05;0.106;;;;;;2014;Primary Transit;;1038.87;
Kepler-193 c;Confirmed;;;;;;;0.245;0.111;0.111;50.697494;0.000446;0.000446;0.286;;;;;;2014;Primary Transit;;1038.87;
Kepler-194 b;Confirmed;;;;;;;0.135;0.07;0.07;2.092281;8E-06;8E-06;0.032;;;;;;2014;Primary Transit;;1133.48;
Kepler-194 c;Confirmed;;;;;;;0.231;0.121;0.121;17.308032;7.9e-05;7.9e-05;0.131;;;;;;2014;Primary Transit;;1133.48;
Kepler-194 d;Confirmed;;;;;;;0.214;0.112;0.112;52.814973;0.000481;0.000481;0.275;;;;;;2014;Primary Transit;;1133.48;
Kepler-195 b;Confirmed;;;;;;;0.181;0.066;0.066;8.307872;2E-05;2E-05;0.077;;;;;;2014;Primary Transit;;664.47;
Kepler-195 c;Confirmed;;;;;;;0.138;0.051;0.051;34.096863;0.000371;0.000371;0.197;;;;;;2014;Primary Transit;;664.47;
Kepler-196 b;Confirmed;;;;;;;0.17;0.013;0.013;20.739886;6.6e-05;6.6e-05;0.138;;;;;;2014;Primary Transit;;457.26;
Kepler-196 c;Confirmed;;;;;;;0.2;0.015;0.015;47.427737;0.000223;0.000223;0.24;;;;;;2014;Primary Transit;;457.26;
Kepler-197 b;Confirmed;;;;;;;0.091;0.004;0.004;5.599308;2.3e-05;2.3e-05;0.06;;;0.02;;;2014;Primary Transit;;333.75;
Kepler-197 c;Confirmed;0.017;0.0091;0.01;;;;0.11;0.004;0.004;10.349695;4.5e-05;4.5e-05;0.09;;;0.08;;;2014;Primary Transit;;333.75;
Kepler-197 d;Confirmed;;;;;;;0.109;0.009;0.009;15.677563;9.6e-05;9.6e-05;0.119;;;0.03;;;2014;Primary Transit;;333.75;
Kepler-197 e;Confirmed;;;;;;;0.081;0.004;0.004;25.209715;0.000387;0.000387;0.164;;;0.38;;;2014;Primary Transit;;333.75;
Kepler-198 b;Confirmed;;;;;;;0.252;0.037;0.037;17.790037;3.5e-05;3.5e-05;0.131;;;;;;2014;Primary Transit;;502.52;0.93
Kepler-198 c;Confirmed;;;;;;;0.22;0.033;0.033;49.567416;0.00022;0.00022;0.259;;;;;;2014;Primary Transit;;502.52;0.93
Kepler-198 d;Confirmed;;;;;;;0.136;0.006;0.008;1.31184443;1.33e-06;1.33e-06;;;;;;;2016;Primary Transit;;502.52;0.93
Kepler-199 b;Confirmed;;;;;;;0.277;0.05;0.05;23.637604;5E-05;5E-05;0.158;;;;;;2014;Primary Transit;;528.99;
Kepler-199 c;Confirmed;;;;;;;0.29;0.052;0.052;67.093408;0.00019;0.00019;0.316;;;;;;2014;Primary Transit;;528.99;
Kepler-20 b;Confirmed;0.03052;0.00453;0.00444;;;;0.167;0.003;0.006;3.69611525;8.7e-07;1.15e-06;0.0463;0.0015;0.0009;0.03;87.355;0.000156;2011;Primary Transit;12.5;284.88;0.95
Kepler-20 c;Confirmed;0.04012;0.00705;0.00683;;;;0.272;0.005;0.006;10.85409089;2.6e-06;3.03e-06;0.0949;0.0023;0.0027;0.16;89.815;0.000321;2011;Primary Transit;12.5;284.88;0.95
Kepler-20 d;Confirmed;0.03168;0.0116;0.0125;;;;0.245;0.005;0.007;77.61130017;0.00011588;0.00012305;0.3506;0.0101;0.0081;0.6;89.708;0.001191;2011;Primary Transit;12.5;284.88;0.95
Kepler-20 e;Confirmed;0.0097;inf;nan;;;;0.077;0.002;0.002;6.09852281;1.351e-05;6.08e-06;0.0639;0.0014;0.0019;;87.632;0.000175;2011;Primary Transit;12.5;284.88;0.95
Kepler-20 f;Confirmed;0.045;;;;;;0.089;0.008;0.004;19.57758478;0.00012256;9.037e-05;0.1396;0.0035;0.0036;;88.788;0.000379;2011;Primary Transit;12.5;284.88;0.95
Kepler-20 g;Confirmed;;;;0.0628;0.0114;0.00969;;;;34.94;0.035;0.038;0.2055;0.0021;0.0022;0.15;;;2016;Radial Velocity;12.5;284.88;0.95
Kepler-200 b;Confirmed;;;;;;;0.19;0.037;0.037;8.594805;3.6e-05;3.6e-05;0.08;;;;;;2014;Primary Transit;;678.93;
Kepler-200 c;Confirmed;;;;;;;0.142;0.026;0.026;10.222157;5.3e-05;5.3e-05;0.09;;;;;;2014;Primary Transit;;678.93;
Kepler-201 b;Confirmed;;;;;;;0.219;0.043;0.043;25.672083;7.5e-05;7.5e-05;0.175;;;;;;2014;Primary Transit;;648.18;1.17
Kepler-201 c;Confirmed;;;;;;;0.254;0.054;0.054;151.884058;0.002014;0.002014;0.573;;;;;;2014;Primary Transit;;648.18;1.17
Kepler-202 b;Confirmed;;;;;;;0.145;0.009;0.009;4.069427;7E-06;7E-06;0.045;;;;;;2014;Primary Transit;;287.48;
Kepler-202 c;Confirmed;;;;;;;0.165;0.009;0.009;16.282493;3.8e-05;3.8e-05;0.113;;;;;;2014;Primary Transit;;287.48;
Kepler-203 b;Confirmed;;;;;;;0.229;0.046;0.046;3.162697;4E-06;4E-06;0.043;;;;;;2014;Primary Transit;;717.73;0.98
Kepler-203 c;Confirmed;;;;;;;0.22;0.042;0.042;5.370647;8E-06;8E-06;0.061;;;;;;2014;Primary Transit;;717.73;0.98
Kepler-203 d;Confirmed;;;;;;;0.128;0.025;0.025;11.32972;8E-05;8E-05;0.1;;;;;;2014;Primary Transit;;717.73;0.98
Kepler-204 b;Confirmed;;;;;;;0.226;0.048;0.048;14.400974;5.6e-05;5.6e-05;0.117;;;;;;2014;Primary Transit;;700.59;0.96
Kepler-204 c;Confirmed;;;;;;;0.16;0.035;0.035;25.660593;0.000288;0.000288;0.173;;;;;;2014;Primary Transit;;700.59;0.96
Kepler-205 b;Confirmed;;;;;;;0.135;0.012;0.012;2.75564;2E-06;2E-06;0.032;;;;;;2014;Primary Transit;;160.46;
Kepler-205 c;Confirmed;;;;;;;0.146;0.011;0.011;20.306546;3.8e-05;3.8e-05;0.122;;;;;;2014;Primary Transit;;160.46;
Kepler-206 b;Confirmed;;;;;;;0.107;0.021;0.021;7.781987;5.8e-05;5.8e-05;0.078;;;;;;2014;Primary Transit;;604.81;0.94
Kepler-206 c;Confirmed;;;;;;;0.158;0.03;0.03;13.137471;6.5e-05;6.5e-05;0.111;;;;;;2014;Primary Transit;;604.81;0.94
Kepler-206 d;Confirmed;;;;;;;0.106;0.021;0.021;23.44281;0.000453;0.000453;0.163;;;;;;2014;Primary Transit;;604.81;0.94
Kepler-207 b;Confirmed;;;;;;;0.14;0.027;0.027;1.611865;6E-06;6E-06;0.029;;;;;;2014;Primary Transit;;898.2;
Kepler-207 c;Confirmed;;;;;;;0.134;0.026;0.026;3.071571;1.6e-05;1.6e-05;0.044;;;;;;2014;Primary Transit;;898.2;
Kepler-207 d;Confirmed;;;;;;;0.295;0.056;0.056;5.868075;9E-06;9E-06;0.068;;;;;;2014;Primary Transit;;898.2;
Kepler-208 b;Confirmed;;;;;;;0.145;0.027;0.027;4.22864;1.8e-05;1.8e-05;0.054;;;;;;2014;Primary Transit;;793.01;1.03
Kepler-208 c;Confirmed;;;;;;;0.124;0.023;0.023;7.466623;6.7e-05;6.7e-05;0.079;;;;;;2014;Primary Transit;;793.01;1.03
Kepler-208 d;Confirmed;;;;;;;0.107;0.021;0.021;11.131786;0.000131;0.000131;0.103;;;;;;2014;Primary Transit;;793.01;1.03
Kepler-208 e;Confirmed;;;;;;;0.132;0.025;0.025;16.259458;0.000176;0.000176;0.132;;;;;;2014;Primary Transit;;793.01;1.03
Kepler-209 b;Confirmed;;;;;;;0.202;0.03;0.03;16.087845;4.1e-05;4.1e-05;0.122;;;;;;2014;Primary Transit;;586.68;
Kepler-209 c;Confirmed;;;;;;;0.277;0.045;0.045;41.749882;0.000106;0.000106;0.231;;;;;;2014;Primary Transit;;586.68;
Kepler-21 b;Confirmed;0.01598;0.00541;0.00541;;;;0.146;0.001;0.002;2.78578;3E-05;3E-05;0.042717;0.0;0.0;0.02;83.2;0.000394;2012;Primary Transit;8.27;108.86;1.41
Kepler-210 b;Confirmed;;;;;;;0.262;0.019;0.019;2.453234;1E-06;1E-06;0.032;;;0.44;77.86;;2014;Primary Transit;14.4;234.33;0.63
Kepler-210 c;Confirmed;;;;;;;0.323;0.017;0.017;7.972513;3E-06;3E-06;0.07;;;0.5;85.73;;2014;Primary Transit;14.4;234.33;0.63
Kepler-211 b;Confirmed;;;;;;;0.112;0.008;0.008;4.138575;1E-05;1E-05;0.048;;;;;;2014;Primary Transit;;312.14;0.97
Kepler-211 c;Confirmed;;;;;;;0.115;0.008;0.008;6.04045;1.6e-05;1.6e-05;0.062;;;;;;2014;Primary Transit;;312.14;0.97
Kepler-212 b;Confirmed;;;;;;;0.097;0.019;0.019;16.257582;0.000378;0.000378;0.133;;;;;;2014;Primary Transit;;701.04;1.16
Kepler-212 c;Confirmed;;;;;;;0.244;0.045;0.045;31.805174;0.000142;0.000142;0.207;;;;;;2014;Primary Transit;;701.04;1.16
Kepler-213 b;Confirmed;;;;;;;0.145;0.028;0.028;2.46236;6E-06;6E-06;0.036;;;;;;2014;Primary Transit;;646.74;0.94
Kepler-213 c;Confirmed;;;;;;;0.209;0.04;0.04;4.822962;8E-06;8E-06;0.057;;;;;;2014;Primary Transit;;646.74;0.94
Kepler-214 b;Confirmed;;;;;;;0.233;0.044;0.044;15.660544;8E-05;8E-05;0.13;;;;;;2014;Primary Transit;;1252.07;
Kepler-214 c;Confirmed;;;;;;;0.19;0.036;0.036;28.7798;0.000397;0.000397;0.194;;;;;;2014;Primary Transit;;1252.07;
Kepler-215 b;Confirmed;;;;;;;0.145;0.036;0.036;9.360672;4E-05;4E-05;0.084;;;;;;2014;Primary Transit;;492.9;0.77
Kepler-215 c;Confirmed;;;;;;;0.158;0.037;0.037;14.667108;8.9e-05;8.9e-05;0.113;;;;;;2014;Primary Transit;;492.9;0.77
Kepler-215 d;Confirmed;;;;;;;0.213;0.049;0.049;30.864423;9.2e-05;9.2e-05;0.185;;;;;;2014;Primary Transit;;492.9;0.77
Kepler-215 e;Confirmed;;;;;;;0.156;0.037;0.037;68.16101;0.00063;0.00063;0.314;;;;;;2014;Primary Transit;;492.9;0.77
Kepler-216 b;Confirmed;;;;;;;0.21;0.041;0.041;7.693641;3.1e-05;3.1e-05;0.079;;;;;;2014;Primary Transit;;1229.44;
Kepler-216 c;Confirmed;;;;;;;0.271;0.053;0.053;17.406669;5.7e-05;5.7e-05;0.136;;;;;;2014;Primary Transit;;1229.44;
Kepler-217 b;Confirmed;;;;;;;0.199;0.029;0.029;5.374943;1.9e-05;1.9e-05;0.065;;;;;;2014;Primary Transit;;1140.95;
Kepler-217 c;Confirmed;;;;;;;0.165;0.024;0.024;8.586004;5.3e-05;5.3e-05;0.089;;;;;;2014;Primary Transit;;1140.95;
Kepler-217 d;Confirmed;;;;;;;0.118;0.024;0.032;3.88689525;2.241e-05;2.241e-05;;;;;;;2016;Primary Transit;;1140.95;
Kepler-218 b;Confirmed;;;;;;;0.132;0.011;0.011;3.619337;1.1e-05;1.1e-05;0.046;;;;;;2014;Primary Transit;;669.02;
Kepler-218 c;Confirmed;;;;;;;0.28;0.023;0.023;44.699576;0.000167;0.000167;0.248;;;;;;2014;Primary Transit;;669.02;
Kepler-218 d;Confirmed;;;;;;;0.237;0.016;0.025;124.5244647;0.0005822;0.0005822;;;;;;;2016;Primary Transit;;669.02;
Kepler-219 b;Confirmed;;;;;;;0.263;0.044;0.044;4.585512;8E-06;8E-06;0.057;;;;;;2014;Primary Transit;;805.3;
Kepler-219 c;Confirmed;;;;;;;0.319;0.054;0.054;22.714613;7.5e-05;7.5e-05;0.165;;;;;;2014;Primary Transit;;805.3;
Kepler-219 d;Confirmed;;;;;;;0.251;0.043;0.043;47.903645;0.000307;0.000307;0.272;;;;;;2014;Primary Transit;;805.3;
Kepler-22 b;Confirmed;0.113;;;;;;0.212;0.012;0.012;289.8623;0.02;0.02;0.849;0.018;0.018;0.0;89.764;0.004468;2011;Primary Transit;12.0;190.0;0.97
Kepler-220 b;Confirmed;;;;;;;0.072;0.004;0.004;4.159807;1E-05;1E-05;0.046;;;;;;2014;Primary Transit;;171.96;
Kepler-220 c;Confirmed;;;;;;;0.14;0.008;0.008;9.034199;9E-06;9E-06;0.076;;;;;;2014;Primary Transit;;171.96;
Kepler-220 d;Confirmed;;;;;;;0.087;0.005;0.005;28.122397;0.000162;0.000162;0.163;;;;;;2014;Primary Transit;;171.96;
Kepler-220 e;Confirmed;;;;;;;0.119;0.011;0.011;45.902733;0.000192;0.000192;0.226;;;;;;2014;Primary Transit;;171.96;
Kepler-221 b;Confirmed;;;;;;;0.153;0.015;0.015;2.795906;4E-06;4E-06;0.037;;;;;;2014;Primary Transit;;389.55;0.72
Kepler-221 c;Confirmed;;;;;;;0.261;0.024;0.024;5.690586;4E-06;4E-06;0.059;;;;;;2014;Primary Transit;;389.55;0.72
Kepler-221 d;Confirmed;;;;;;;0.244;0.022;0.022;10.04156;1.1e-05;1.1e-05;0.087;;;;;;2014;Primary Transit;;389.55;0.72
Kepler-221 e;Confirmed;;;;;;;0.235;0.022;0.022;18.369917;2.9e-05;2.9e-05;0.13;;;;;;2014;Primary Transit;;389.55;0.72
